time,imbalance gamma=0J,imbalance gamma=0.1J,imbalance gamma=0.5J,imbalance gamma=1J,imbalance gamma=2J,imbalance gamma=5J
0.36,0.43726953053498435,0.4387291660826355,0.4440793863993454,0.4498107638576757,0.4588044954297531,0.47424674205973094
0.37,0.4338573694003122,0.4354371920839986,0.44121445379669055,0.44737835527102465,0.45699356728890816,0.4733150103707613
0.38,0.43036497668031787,0.4320710156341619,0.43829533246956115,0.44490954641487035,0.45516660885967425,0.4723826728461821
0.39,0.42679339157829754,0.4286317730385033,0.43532337434107166,0.44240570450787753,0.4533246794464457,0.47144997125548893
0.4,0.4231436763751504,0.4251206189635012,0.43229993086197444,0.43986817663585004,0.45146879820432845,0.4705171238147413
0.41000000000000003,0.4194169160768084,0.42153872601206593,0.4292263525700749,0.4372982897426563,0.44959994547469606,0.46958432742596257
0.42,0.4156142180542255,0.4178872842942098,0.42610398865606325,0.43469735063029913,0.4477190640825092,0.4686517597056436
0.43,0.4117367116760218,0.4141675009931944,0.4229341865358028,0.4320666459678701,0.4458270605945484,0.46771958082203524
0.44,0.4077855479339316,0.41038059992733605,0.4197182914291633,0.42940744230910455,0.4439248065402511,0.466787935159072
0.45,0.4037618990611793,0.40652782110761687,0.4164576459454334,0.4267209861182881,0.44201313959661603,0.4658569528230821
0.46,0.3996669581439112,0.40261042029127725,0.4131535896753931,0.4240085038042599,0.4400928647362113,0.46492675100705344
0.47000000000000003,0.39550193872583467,0.3986296685315548,0.40980745879007724,0.42127120176223065,0.438164755342044,0.46399743522583387
0.48,0.39126807440617434,0.39458685172372593,0.40642058564629224,0.4185102664232032,0.4362295542870769,0.46306910043439525
0.49,0.38696661843112157,0.39048327014763273,0.40299429839892653,0.4157268643107144,0.43428797498152827,0.4621418320397763
0.5,0.38259884327888577,0.38632023800684323,0.39952992062010473,0.41292214210467554,0.4323407023882122,0.46121570681723745
0.51,0.37816604023851746,0.38209908296463646,0.39602877092521466,0.4100972267120626,0.43038839400556245,0.46029079373942905
0.52,0.3736695189826334,0.37782114567696,0.3924921626058475,0.40725322534422487,0.4284316808212834,0.4593671547262861
0.53,0.3691106071342032,0.3734877793225436,0.38892140326968816,0.40439122560057755,0.4264711682358141,0.4584448453241768
0.54,0.36449064982753887,0.3691003491303295,0.3853177944873865,0.40151229555845425,0.424507436956446,0.45752391531963527
0.55,0.3598110092636544,0.36466023190440133,0.3816826314464279,0.3986174838688894,0.4225410438641748,0.45660440929526996
0.56,0.3550730642601284,0.36016881554656777,0.3780172026120383,0.3957078198581207,0.4205725228527791,0.4556863671318871
0.5700000000000001,0.3502782097956549,0.3556274985767816,0.37432278939513547,0.3927843136345801,0.41860238564092844,0.4547698244633462
0.58,0.3454278565494091,0.35103768965156634,0.37060066582735307,0.3898479562011766,0.41663112255887297,0.4538548130872486
0.59,0.3405234304354169,0.34640080708061394,0.3668520982431456,0.38689971957265373,0.4146592033100725,0.4529413613367854
0.6,0.33556637213207585,0.3417182783417295,0.36307834496899355,0.38394055689782497,0.4126870777078547,0.45202949441678686
0.61,0.33055813660698447,0.33699153959430106,0.35928065601970643,0.3809714025864692,0.4107151763883967,0.45111923470735765
0.62,0.32550019263726654,0.33222203519144705,0.355460272801851,0.37799317244071373,0.40874391150096845,0.45021060203867364
0.63,0.32039402232553676,0.32741121719103744,0.35161842782428726,0.3750067637906893,0.4067736773755026,0.44930361393920226
0.64,0.31524112061168325,0.32256054486573793,0.3477563444158262,0.37201305563428494,0.40480485116817166,0.44839828585999214
0.65,0.3100429947806445,0.3176714842122635,0.34387523645000095,0.36901290878080256,0.4028377934858541,0.4474946313774146
0.66,0.3048011639663353,0.3127455074600003,0.339976308076962,0.36600716599834526,0.4008728489901735,0.4465926623764407
0.67,0.29951715865190887,0.3077840925791751,0.33606075346246267,0.36299665216474536,0.3989103469815796,0.44569238921615356
0.68,0.29419252016652314,0.3027887227887389,0.3321297565339578,0.3599821744218662,0.3969506019638437,0.4447938208792665
0.6900000000000001,0.288828800178781,0.2977608860641328,0.328184490733777,0.356964522333116,0.39499391418978647,0.4438969651072152
0.7000000000000001,0.28342756018703064,0.2927020746451101,0.324226118779378,0.3539444680439784,0.3930405701887546,0.44300182852217684
0.71,0.27799037100669177,0.2876137845437709,0.3202557924306506,0.3509227664454328,0.3910908432764178,0.44210841673725954
0.72,0.27251881225479685,0.28249751505299037,0.31627465226425816,0.34790015534007623,0.38914499404744163,0.4412167344560228
0.73,0.2670144718319132,0.27735476825540506,0.3122838274549996,0.34487735561080146,0.3872032708513663,0.44032678556233185
0.74,0.26147894540163935,0.27218704853311837,0.3082844355641542,0.3418550713918815,0.38526591025233825,0.4394385732014803
0.75,0.25591383586784344,0.26699586207829473,0.30427758233480257,0.33883399024230754,0.38333313747317876,0.4385520998534297
0.76,0.2503207528498347,0.26178271640480605,0.30026436149409275,0.3358147833212266,0.38140516682428893,0.4376673673989091
0.77,0.24470131215564062,0.2565491198610928,0.29624585456239455,0.3327981055653501,0.37948220211776723,0.43678437717909085
0.78,0.23905713525358308,0.25129658114440795,0.29222313066933847,0.32978459586819364,0.37756443706733134,0.43590313004943604
0.79,0.23338984874232493,0.24602660881659566,0.2881972463767031,0.3267748772610015,0.375652055674382,0.4350236264282842
0.8,0.22770108381957732,0.2407407108215773,0.28416924550810496,0.3237695570952277,0.3737452326006542,0.4341458663406993
0.81,0.22199247574964978,0.23544039400469519,0.2801401589854575,0.3207692272264478,0.3718441335278917,0.4332698494580105
0.8200000000000001,0.21626566333002667,0.23012716363407573,0.276111004672155,0.3177744641995773,0.36994891550495057,0.43239557513350446
0.8300000000000001,0.21052228835715617,0.22480252292417247,0.272082787222944,0.31478582943526767,0.3680597272827435,0.4315230424346007
0.84,0.20476399509163037,0.21946797256163597,0.268056497940438,0.31180386941736105,0.36617670963738785,0.4306522501718744
0.85,0.19899242972295006,0.2141250102336768,0.2640331146382255,0.3088291158813004,0.3642999956819566,0.42978319692524103
0.86,0.19320923983405197,0.2087751301590644,0.26001360151052855,0.30586208600335807,0.3624297111671794,0.42891588106756606
0.87,0.18741607386578515,0.2034198226219203,0.2559989090083636,0.30290328259059895,0.3605659747714596,0.42805030078593803
0.88,0.1816145805815218,0.19806057350845352,0.2519899737221465,0.29995319427145395,0.3587088983805478,0.42718645410080636
0.89,0.17580640853208715,0.1926988638467841,0.247987718270699,0.29701229568680415,0.35685858735721254,0.4263243388832991
0.9,0.16999320552118968,0.18733616935000771,0.24399305119660677,0.2940810476814778,0.3550151408012292,0.42546395287081973
0.91,0.1641766180715421,0.18197395996264454,0.24000686686784944,0.2911598974960469,0.35317865180000396,0.4246052936811287
0.92,0.15835829089184741,0.17661369941061178,0.23603004538565653,0.28824927895881264,0.3513492076701506,0.423748358824889
0.93,0.15253986634484407,0.17125684475486797,0.2320634524985546,0.2853496126779957,0.34952689019030414,0.4228931457171
0.9400000000000001,0.14672298391658306,0.1659048459488678,0.2281079395225108,0.2824613062338876,0.34771177582547363,0.4220396516874397
0.9500000000000001,0.14090927968712616,0.16055914539996397,0.22416434326713464,0.2795847543709736,0.3459039359432112,0.42118787398947344
0.96,0.13510038580284564,0.15522117753489406,0.22023348596786574,0.27672033918991934,0.3441034370218663,0.42033780980888924
0.97,0.12929792995050163,0.14989236836948722,0.21631617522408517,0.2738684303393371,0.34231034085120093,0.4194894562711333
0.98,0.1235035348332863,0.1445741350827249,0.212413203943092,0.2710293852072587,0.3405247047256118,0.4186428104481437
0.99,0.11771881764900519,0.13926788559528347,0.2085253502898676,0.26820354911223576,0.3387465816302204,0.41779786936429153
1.0,0.11194538957058153,0.1339750181526893,0.20465337764257058,0.26539125549398335,0.336976020420062,0.4169546300020461
1.01,0.10618485522905663,0.12869692091321336,0.2007980345536967,0.2625928261034186,0.33521306599261075,0.4161130893067886
1.02,0.1004388121992669,0.12343497154063097,0.1969600547168145,0.2598085711922423,0.3334577594538803,0.41527324419119566
1.03,0.09470885048836956,0.11819053680196419,0.1931401569388198,0.257038789701797,0.331710138278305,0.41443509153942126
1.04,0.08899655202739476,0.11296497217033591,0.1893390451176442,0.25428376945121034,0.32997023646261875,0.41359862821041826
1.05,0.08330349016599599,0.10775962143304495,0.18555740822533195,0.2515437873247695,0.3282380846739522,0.41276385104140084
1.06,0.07763122917057208,0.1025758163049835,0.18179592029642339,0.2488191094584606,0.32651371039232874,0.4119307568506068
1.07,0.07198132372593107,0.0974148760475131,0.17805524042156345,0.24610999142561207,0.32479713804777255,0.41109934243992347
1.08,0.06635531844066493,0.09227810709290059,0.1743360127462643,0.24341667842152345,0.3230883891522029,0.4102696045973259
1.09,0.060754747356406374,0.08716680267442778,0.17063886647474802,0.24073940544701894,0.32138748242631276,0.4094415400988039
1.1,0.05518113346113064,0.08208224246228878,0.1669644158787853,0.23807839749113577,0.3196944339215731,0.4086151457104976
