time,imbalance Delta=0.1J,imbalance Delta=0.3J,imbalance Delta=0.5J,imbalance Delta=3J,imbalance Delta=5J,imbalance Delta=10J
1.7000000000000002,-0.18403778531424034,-0.17727114386383747,-0.1643523998972001,0.16837213807225335,0.20122471651958318,0.22907492525158588
1.75,-0.19208034822071793,-0.1850403665967748,-0.17163529626040025,0.16041143616558012,0.1892317581736882,0.21877554721193737
1.8,-0.1980181473058512,-0.19074617944629219,-0.17693805591061817,0.15196611640198807,0.1778437122918646,0.20825113274851137
1.85,-0.20185391949934736,-0.19439661749761677,-0.18027970842627894,0.14307812783320575,0.16702302570605543,0.19737755310067367
1.9000000000000001,-0.2036074744608162,-0.19601688573489948,-0.18169530767008216,0.13380607021282687,0.15669964147478332,0.18614819861379267
1.9500000000000002,-0.20331558527432053,-0.1956486805521231,-0.18123555422159388,0.12422166187251975,0.14678147175386028,0.17465892143605094
2.0,-0.20103108536881673,-0.19334962224806557,-0.1789658278267018,0.11440525334378147,0.1371655766373948,0.16306796608148388
2.0500000000000003,-0.19682291436383317,-0.18919233237520802,-0.17496527345133112,0.10444212305291597,0.12774912850259407,0.15154504234657104
2.1,-0.19077473448622886,-0.18326343768370612,-0.1693257930640739,0.09441853900084904,0.11843798095283004,0.14022489696209137
2.15,-0.18298412967023334,-0.17566297033143227,-0.1621510944047837,0.08441840856419305,0.10915400905991751,0.12917886637253506
2.2,-0.17356164178497976,-0.16650303958221035,-0.1535555311577524,0.07452020891525667,0.09983954135275501,0.11840822079960182
2.25,-0.16262993626573014,-0.15590698954587628,-0.14366301785406094,0.06479441821953433,0.09045978775581334,0.10785809113072839
2.3000000000000003,-0.150322462774048,-0.14400799964985894,-0.13260590893753374,0.055301849812819666,0.08100218927592001,0.0974452006671382
2.35,-0.1367822468866081,-0.13094793787006645,-0.12052330154195508,0.04609220016823799,0.07147436180619493,0.08708818126580865
2.4000000000000004,-0.1221602988332379,-0.11687595119683528,-0.10755960367664882,0.03720325181397906,0.06190073648307809,0.07673178386183883
2.45,-0.10661477121762297,-0.10194708406593886,-0.09386309796447673,0.028660843211708087,0.05231717658323528,0.06635909827044655
2.5,-0.09030898415228336,-0.08632073723775835,-0.07958477056163502,0.02047936843322531,0.04276626878103832,0.055989880366198785
2.5500000000000003,-0.0734100333149484,-0.07015936071054849,-0.06487680587778832,0.012662476660674651,0.03329234448467074,0.045667523284952785
2.6,-0.056087703553847616,-0.053626893936194756,-0.049891396883438965,0.005204226251949906,0.023937120171942272,0.035440676227799235
2.6500000000000004,-0.03851248078241991,-0.03688737259802624,-0.034779211062914095,-0.0019094625800559917,0.014735685477639694,0.025346381878818006
2.7,-0.02085460671559137,-0.02010341698088993,-0.019688153445111954,-0.008699235826768872,0.0057145972480953725,0.015399388041972426
2.75,-0.0032823089598451316,-0.0034350555538059085,-0.004761995200522084,-0.015190761079420146,-0.003109515964268013,0.005590799874248507
2.8000000000000003,0.01403973235440983,0.012962122944913177,0.009860449811432116,-0.021413079188116444,-0.011730124630991635,-0.004105175288529989
