time,imbalance Delta=0.1J,imbalance Delta=0.3J,imbalance Delta=0.5J,imbalance Delta=3J,imbalance Delta=5J,imbalance Delta=10J
2.2,-0.17166686275652215,-0.16406918416432165,-0.1494007803925843,0.0949676266992687,0.10977767347932575,0.12291725813554065
2.25,-0.16071920450090862,-0.15343848204177843,-0.13941334988602194,0.0857140650104976,0.10102133601905072,0.11288000983385651
2.3000000000000003,-0.1484117726616706,-0.14152523703585415,-0.1282917773783339,0.07672342247272157,0.09223351364087484,0.10306768469035961
2.35,-0.1348884988053914,-0.12847292585078296,-0.1161781620553003,0.06805407396514541,0.083431597092258,0.09339749018852664
2.4000000000000004,-0.12030130049309451,-0.11443212679104539,-0.10321958021990844,0.05975057311628354,0.07465108813649232,0.083814827049675
2.45,-0.10480879203466378,-0.09955933638723402,-0.08956687547276407,0.05184378495289923,0.06594022342186691,0.07430745825650076
2.5,-0.0885751104591123,-0.08401521797879809,-0.07537336958582756,0.04435103807260073,0.057353374859991105,0.06490424429622813
2.5500000000000003,-0.07176796529224261,-0.06796297960730581,-0.06079316143716885,0.03727735608603921,0.04894534455611404,0.05566035852306837
2.6,-0.054557408880381734,-0.0515672004182335,-0.0459799176334081,0.03061691854521733,0.040765884929513205,0.0466371569548968
2.6500000000000004,-0.03711406414398901,-0.03499223588644977,-0.031085133397199278,0.024354959073512452,0.03285580658998688,0.03788360086519227
2.7,-0.019607778599596053,-0.01840075475351107,-0.016257132862510827,0.018469951254260097,0.025244889188723425,0.029424502657728842
2.75,-0.002206423574571041,-0.0019522365321841002,-0.0016396403701335839,0.012935720209324299,0.01795092092285516,0.02125940901516984
2.8000000000000003,0.014926160187119213,0.014198146992095111,0.012629271797323715,0.007723699486072131,0.01098049932516303,0.013371239580418554
2.85,0.03163120414452775,0.029901188193826013,0.02641851672765961,0.002805005957882977,0.004330847459395333,0.005739814292828591
2.9000000000000004,0.047756518554733354,0.045014903136366295,0.03960512206872484,-0.0018476753327971423,-0.0020074027098853434,-0.0016440586535676656
2.95,0.06315747999445637,0.05940530821760649,0.052075039450776434,-0.0062585943483937,-0.008046832514284686,-0.008768775710909275
3.0,0.07769867137568828,0.07294768403731892,0.06372404829018856,-0.010447713300742453,-0.013799931551588391,-0.015600351737419357
3.0500000000000003,0.0912547041655839,0.08552783452986709,0.07445841490332794,-0.014429872469451538,-0.019275938766100127,-0.022087869787466404
3.1,0.10371135133157076,0.09704277809180764,0.08419564676000092,-0.01821426166039544,-0.02447848284972339,-0.028174632395087967
3.1500000000000004,0.11496621069260225,0.10740123470224978,0.09286512417050208,-0.021804426780142404,-0.02940411377270767,-0.03381076593753584
3.2,0.12492952025938474,0.11652436851765573,0.1004082730173287,-0.025198318059594507,-0.03404173335821116,-0.03896374241825433
3.25,0.13352495178513551,0.12434644848180586,0.10677883764397363,-0.028388852450245645,-0.03837276139014968,-0.043623517887113133
3.3000000000000003,0.14068991640848919,0.1308152446387721,0.11194316860250883,-0.031364654380194125,-0.04237224579764266,-0.047801267730473385
3.35,0.14637598813954958,0.1358921856271103,0.11588009156893224,-0.03411097647057666,-0.04601065034409957,-0.05152213596519632
3.4000000000000004,0.15054934267379103,0.13955267410628325,0.11858087016405386,-0.03661067341727578,-0.04925598308434134,-0.054814506198483055
3.45,0.15319086783495084,0.14178596940160787,0.12004900670556072,-0.03884528181803427,-0.05207630817923006,-0.0576988141097206
3.5,0.15429623172574577,0.1425949875907404,0.12029999161727095,-0.04079607554972264,-0.054442221420778925,-0.06017921134727447
3.5500000000000003,0.15387532847474905,0.1419962018975173,0.11936089626260737,-0.04244514875663605,-0.05632883399727062,-0.06224021340751013
3.6,0.15195230332933685,0.1400191955379107,0.1172696850367086,-0.04377631605195227,-0.05771765586714478,-0.06384923920148033
3.6500000000000004,0.14856523378096204,0.13670612569267665,0.11407463343326399,-0.044776026230723125,-0.058598051600694416,-0.06496388533271226
3.7,0.1437656004843168,0.13211121388720726,0.10983361487219066,-0.045434030269773766,-0.05896789556707926,-0.06554225821844022
3.75,0.13761761945972034,0.12630004183643678,0.1046133198872253,-0.04574401040568454,-0.058833874403570297,-0.06555345818032256
3.8000000000000003,0.13019755003610317,0.11934874543319866,0.09848854043681614,-0.04570402553270732,-0.05821098794342949,-0.06498569866870005
3.85,0.12159272000085619,0.11134308023538678,0.0915410801429984,-0.045316590212250846,-0.05712174378227524,-0.0638498935298882
