time,imbalance Delta=5J,imbalance Delta=10J,imbalance Delta=15J,imbalance Delta=20J,imbalance Delta=30J,imbalance Delta=50J
15.115115115115115,-0.0013873376964853648,-0.023487575717134723,-0.04973697245017568,-0.06878701101091816,-0.09196218754719931,-0.11050998635661696
15.135135135135135,-0.001380114418151189,-0.023443897294396422,-0.04968964166530049,-0.06874534263953694,-0.09193421237594639,-0.1104992732700913
15.155155155155155,-0.0013729299108162646,-0.0234003012606104,-0.04964235413485833,-0.0687036892223247,-0.09190621624688464,-0.11048851561261745
15.175175175175175,-0.0013657839607777306,-0.023356787473113788,-0.0495951099121689,-0.06866205095247764,-0.09187819951372281,-0.11047771383626988
15.195195195195195,-0.0013586763555537285,-0.02331335578919156,-0.04954790904914509,-0.06862042802063234,-0.09185016252655806,-0.11046686838878458
15.215215215215215,-0.0013516068838507547,-0.02327000606608339,-0.049500751596302156,-0.06857882061504761,-0.09182210563192322,-0.11045597971366002
15.235235235235235,-0.0013445753355630224,-0.02322673816103192,-0.04945363760277678,-0.06853722892153002,-0.09179402917282134,-0.11044504825015636
15.255255255255255,-0.001337581501767146,-0.023183551931234926,-0.0494065671163455,-0.06849565312343711,-0.09176593348876196,-0.1104340744333154
15.275275275275275,-0.0013306251747153622,-0.023140447233851252,-0.04935954018344362,-0.0684540934018501,-0.09173781891579591,-0.11042305869406444
15.295295295295295,-0.0013237061478282852,-0.023097423926017435,-0.049312556849168514,-0.06841254993540292,-0.0917096857865479,-0.1104120014592134
15.315315315315315,-0.001316824215267777,-0.02305448186485161,-0.04926561715726968,-0.06837102290046329,-0.09168153443025279,-0.11040090315147233
15.335335335335335,-0.0013099791739040884,-0.02301162090745948,-0.04921872115022347,-0.06832951247110644,-0.091653365172789,-0.11038976418955476
15.355355355355355,-0.001303170819808512,-0.0229688409109379,-0.04917186886922669,-0.06828801881907068,-0.09162517833671335,-0.11037858498817518
15.375375375375375,-0.0012963989510908075,-0.02292614173237973,-0.04912506035420985,-0.06824654211394646,-0.09159697424129207,-0.11036736595805728
15.395395395395395,-0.0012896633669688962,-0.02288352322887948,-0.049078295643851896,-0.06820508252301893,-0.09156875320253596,-0.1103561075060521
15.415415415415415,-0.0012829638677695487,-0.022840985257546055,-0.04903157477559596,-0.0681636402114075,-0.09154051553323178,-0.110344810035124
15.435435435435435,-0.0012763002549280589,-0.022798527675505838,-0.04898489778566966,-0.0681222153420887,-0.09151226154297537,-0.11033347394437237
15.455455455455455,-0.0012696723309961813,-0.022756150339888363,-0.04893826470915311,-0.06808080807581376,-0.09148399153820172,-0.11032209962909682
15.475475475475475,-0.0012630798996435752,-0.02271385310783413,-0.048891675579919594,-0.06803941857130102,-0.09145570582222438,-0.11031068748085217
15.495495495495495,-0.0012565227656442454,-0.0226716358365152,-0.048845130430665365,-0.06799804698510362,-0.09142740469526023,-0.1102992378874483
15.515515515515515,-0.001250000734856628,-0.02262949838313954,-0.048798629292933056,-0.06795669347170105,-0.09139908845444333,-0.1102877512329637
15.535535535535535,-0.0012435136142463221,-0.022587440604943693,-0.04875217219712463,-0.06791535818357144,-0.09137075739391484,-0.11027622789786501
15.555555555555555,-0.0012370612118521723,-0.0225454623591953,-0.04870575917251681,-0.06787404127106765,-0.09134241180476536,-0.11026466825898304
15.575575575575575,-0.0012306433368022701,-0.022503563503203858,-0.04865939024727491,-0.06783274288264857,-0.0913140519750984,-0.11025307268951752
15.595595595595595,-0.0012242597992966897,-0.02246174389432442,-0.04861306544849926,-0.06779146316469106,-0.09128567819015752,-0.11024144155914731
15.615615615615615,-0.0012179104105962055,-0.02242000338995985,-0.04856678480220915,-0.06775020226164005,-0.09125729073216385,-0.11022977523402985
15.635635635635635,-0.0012115949830362738,-0.022378341847563786,-0.04852054833334843,-0.06770896031606884,-0.09122888988054291,-0.11021807407681616
15.655655655655655,-0.0012053133299909993,-0.022336759124645215,-0.048474356065810756,-0.06766773746852331,-0.09120047591182619,-0.11020633844669045
15.675675675675675,-0.0011990652659005854,-0.0222952550787723,-0.04842820802245244,-0.06762653385762687,-0.09117204909968307,-0.11019456869944529
15.695695695695695,-0.001192850606234891,-0.02225382956757558,-0.04838210422510621,-0.0675853496201128,-0.09114360971507401,-0.11018276518747518
15.715715715715715,-0.0011866691675092994,-0.022212482448751417,-0.048336044694594536,-0.06754418489090894,-0.0911151580260834,-0.1101709282597793
15.735735735735735,-0.0011805207672690096,-0.022171213580065824,-0.04829002945074768,-0.06750303980313169,-0.09108669429813232,-0.1101590582620785
15.755755755755755,-0.0011744052240795153,-0.022130022819357248,-0.04824405851241718,-0.06746191448810138,-0.0910582187938978,-0.11014715553678991
15.775775775775776,-0.0011683223575373394,-0.02208891002454038,-0.048198131897479825,-0.0674208090753893,-0.09102973177332171,-0.11013522042304494
15.795795795795796,-0.001162271988237422,-0.02204787505360937,-0.04815224962285486,-0.0673797236928059,-0.09100123349378383,-0.11012325325675604
15.815815815815816,-0.0011562539377986264,-0.02200691776464083,-0.04810641170451705,-0.06733865846621606,-0.09097272420992686,-0.11011125437065189
15.835835835835836,-0.00115026802882804,-0.02196603801579699,-0.04806061815750864,-0.06729761351979527,-0.09094420417384436,-0.11009922409427887
15.855855855855856,-0.0011443140849392575,-0.021925235665328974,-0.048014868995950775,-0.06725658897599567,-0.09091567363504835,-0.11008716275402217
15.875875875875876,-0.0011383919307322993,-0.021884510571579627,-0.04796916423305982,-0.06721558495558352,-0.09088713284042911,-0.11007507067319548
15.895895895895896,-0.0011325013917900528,-0.02184386259298656,-0.04792350388116367,-0.06717460157770261,-0.09085858203444501,-0.11006294817202661
15.915915915915916,-0.0011266422946821578,-0.02180329158808491,-0.047877887951701475,-0.06713363895981153,-0.09083002145894223,-0.11005079556765614
15.935935935935936,-0.001120814466936855,-0.021762797415511043,-0.04783231645524118,-0.06709269721773578,-0.09080145135339815,-0.11003861317424488
15.955955955955956,-0.0011150177370732178,-0.021722379934004776,-0.0477867894014904,-0.0670517764656531,-0.09077287195474754,-0.11002640130295649
15.975975975975976,-0.0011092519345613783,-0.02168203900241026,-0.047741306799307826,-0.06701087681612211,-0.09074428349749386,-0.11001416026197594
15.995995995995996,-0.0011035168898183567,-0.021641774479683802,-0.04769586865671497,-0.06696999838012518,-0.09071568621384155,-0.11000189035655064
16.016016016016017,-0.0010978124342363796,-0.021601586224890626,-0.047650474980907354,-0.06692914126707265,-0.09068708033352042,-0.10998959188904477
16.036036036036037,-0.0010921384001313303,-0.02156147409720694,-0.04760512577827181,-0.06688830558481725,-0.09065846608385594,-0.10997726515893544
16.056056056056057,-0.0010864946207680692,-0.021521437955934357,-0.04755982105438869,-0.06684749143967639,-0.09062984368982245,-0.10996491046281992
16.076076076076077,-0.0010808809303599898,-0.021481477660483986,-0.047514560814044295,-0.06680669893644933,-0.09060121337411475,-0.10995252809451012
16.096096096096097,-0.0010752971640248313,-0.021441593070395865,-0.04746934506124282,-0.06676592817843241,-0.09057257535719068,-0.10994011834501355
16.116116116116117,-0.001069743157824897,-0.021401784045332016,-0.04742417379921597,-0.06672517926742857,-0.09054392985725379,-0.10992768150254316
16.136136136136138,-0.0010642187487436491,-0.02136205044507687,-0.047379047030434496,-0.06668445230377495,-0.0905152770903141,-0.10991521785258676
16.156156156156158,-0.0010587237746550945,-0.021322392129552024,-0.04733396475661667,-0.06664374738635791,-0.09048661727020113,-0.10990272767792306
16.176176176176178,-0.001053258074372572,-0.021282808958801455,-0.04728892697874576,-0.06660306461262368,-0.09045795060835989,-0.10989021125862691
16.196196196196198,-0.0010478214875538697,-0.021243300793009484,-0.047243933697073415,-0.06656240407859283,-0.09042927731407091,-0.10987766887209441
16.216216216216218,-0.001042413854766236,-0.021203867492494047,-0.04719898491112886,-0.06652176587888478,-0.09040059759446466,-0.1098651007931098
16.236236236236238,-0.0010370350175143012,-0.021164508917702808,-0.04715408061973,-0.06648115010673072,-0.09037191165454923,-0.10985250729383644
16.256256256256258,-0.0010316848182014976,-0.021125224929235152,-0.04710922082099289,-0.06644055685397642,-0.09034321969729087,-0.10983988864381639
16.276276276276278,-0.001026363100123398,-0.02108601538782791,-0.04706440551234201,-0.06639998621111082,-0.09031452192353875,-0.10982724511006436
16.296296296296298,-0.001021069707462692,-0.02104688015435552,-0.04701963469051823,-0.0663594382672849,-0.09028581853208341,-0.10981457695704727
